episode: 1, reward: -116.63887909651321
episode: 2, reward: -115.42250763955401
episode: 3, reward: -109.6051016356366
episode: 4, reward: -114.96445414512773
episode: 5, reward: -119.4589765198355
episode: 6, reward: -103.9442386915392
episode: 7, reward: -108.24828168685468
episode: 8, reward: -103.42837325343964
episode: 9, reward: -112.15915408950082
episode: 10, reward: -102.21522816581279
episode: 11, reward: -105.62842520682949
episode: 12, reward: -104.89530532545677
episode: 13, reward: -104.01016126124871
episode: 14, reward: -100.58742326894837
episode: 15, reward: -102.6826528742838
episode: 16, reward: -106.5819861499872
episode: 17, reward: -104.15831509918193
episode: 18, reward: -100.0413019027283
episode: 19, reward: -108.71458979623144
episode: 20, reward: -120.3594059604875
episode: 21, reward: -108.50578724849505
episode: 22, reward: -97.5102414551208
episode: 23, reward: -98.43845138780338
